timeStamp,elapsed,label,responseCode,responseMessage,threadName,dataType,success,failureMessage,bytes,sentBytes,grpThreads,allThreads,URL,Latency,IdleTime,Connect
1681927121332,316,https://reqres.in/api/users,201,Created,CRUD Operations 3-8,text,true,,744,423,10,29,https://reqres.in/api/users,316,0,0
1681927121623,25,https://reqres.in/api/unknown,200,OK,CRUD Operations 3-10,text,true,,1427,370,10,29,https://reqres.in/api/unknown,25,0,0
1681927121331,316,Create User,200,"Number of samples in transaction : 1, number of failing samples : 0",CRUD Operations 3-8,,true,,744,423,10,29,null,316,2,0
1681927121623,25,List <Resources>,200,"Number of samples in transaction : 1, number of failing samples : 0",CRUD Operations 3-10,,true,,1427,370,10,29,null,25,1,0
1681927121619,30,Get User By ID,200,OK,CRUD Operations 3-6,text,true,,1008,370,10,29,https://reqres.in/api/users/7,30,0,0
1681927121649,31,https://reqres.in/api/unknown/2,200,OK,CRUD Operations 3-10,text,true,,941,372,10,30,https://reqres.in/api/unknown/2,31,0,0
1681927121649,31,Get Single <Resource>,200,"Number of samples in transaction : 1, number of failing samples : 0",CRUD Operations 3-10,,true,,941,372,10,30,null,31,1,0
1681927121647,35,https://reqres.in/api/unknown/2,200,OK,CRUD Operations 3-3,text,true,,951,372,10,30,https://reqres.in/api/unknown/2,35,0,0
1681927121646,35,Get Single <Resource>,200,"Number of samples in transaction : 1, number of failing samples : 0",CRUD Operations 3-3,,true,,951,372,10,30,null,35,2,0
1681927121650,39,Get User By ID,200,OK,CRUD Operations 3-6,text,true,,994,370,10,30,https://reqres.in/api/users/9,38,0,0
1681927121342,357,https://reqres.in/api/unknown/23,404,Not Found,Exception Paths Group 2-4,text,false,,696,373,5,30,https://reqres.in/api/unknown/23,357,0,0
1681927121342,357,Get Single Resource,,"Number of samples in transaction : 1, number of failing samples : 1",Exception Paths Group 2-4,,false,,696,373,5,30,null,357,5,0
1681927121346,362,https://reqres.in/api/unknown/23,404,Not Found,Exception Paths Group 2-2,text,false,,694,373,5,30,https://reqres.in/api/unknown/23,362,0,0
1681927121346,362,Get Single Resource,,"Number of samples in transaction : 1, number of failing samples : 1",Exception Paths Group 2-2,,false,,694,373,5,30,null,362,1,0
1681927121690,26,Get User By ID,304,Not Modified,CRUD Operations 3-6,,true,,638,423,10,30,https://reqres.in/api/users/12,0,0,0
1681927121218,491,Get User By ID,200,"Number of samples in transaction : 6, number of failing samples : 0",CRUD Operations 3-6,,true,,5651,2275,10,30,null,464,7,0
1681927121384,337,https://reqres.in/api/users,201,Created,CRUD Operations 3-4,text,true,,740,423,10,30,https://reqres.in/api/users,337,0,0
1681927121383,337,Create User,200,"Number of samples in transaction : 1, number of failing samples : 0",CRUD Operations 3-4,,true,,740,423,10,30,null,337,3,0
1681927121397,332,https://reqres.in/api/users,201,Created,CRUD Operations 3-2,text,true,,750,423,11,31,https://reqres.in/api/users,332,0,0
1681927121396,332,Create User,200,"Number of samples in transaction : 1, number of failing samples : 0",CRUD Operations 3-2,,true,,750,423,11,31,null,332,2,0
1681927121411,322,https://reqres.in/api/users,201,Created,CRUD Operations 3-7,text,true,,745,423,11,31,https://reqres.in/api/users,322,0,0
1681927121410,322,Create User,200,"Number of samples in transaction : 1, number of failing samples : 0",CRUD Operations 3-7,,true,,745,423,11,31,null,322,1,0
1681927121418,320,https://reqres.in/api/users,201,Created,CRUD Operations 3-5,text,true,,742,423,11,31,https://reqres.in/api/users,320,0,0
1681927121418,320,Create User,200,"Number of samples in transaction : 1, number of failing samples : 0",CRUD Operations 3-5,,true,,742,423,11,31,null,320,0,0
1681927121394,353,https://reqres.in/api/users,201,Created,CRUD Operations 3-1,text,true,,744,423,11,31,https://reqres.in/api/users,353,0,0
1681927121394,353,Create User,200,"Number of samples in transaction : 1, number of failing samples : 0",CRUD Operations 3-1,,true,,744,423,11,31,null,353,1,0
1681927121717,31,https://reqres.in/api/unknown,200,OK,CRUD Operations 3-6,text,true,,1427,370,11,31,https://reqres.in/api/unknown,31,0,0
1681927121717,31,List <Resources>,200,"Number of samples in transaction : 1, number of failing samples : 0",CRUD Operations 3-6,,true,,1427,370,11,31,null,31,1,0
1681927121408,366,https://reqres.in/api/unknown/23,404,Not Found,Exception Paths Group 2-5,text,false,,690,373,5,31,https://reqres.in/api/unknown/23,365,0,0
1681927121408,366,Get Single Resource,,"Number of samples in transaction : 1, number of failing samples : 1",Exception Paths Group 2-5,,false,,690,373,5,31,null,365,1,0
